Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Allison Hill,20229256,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"System support – help desk, UX/UI design",Hospital,GIG - Internal client based projects,Design Factory,For Review,2024 S2,21/07/1993,
Megan Mcclain,20211395,Male,International,A grade,Bachelor of Applied IT,Software Engineering,"Business analysis, Networking, Database, Web development, UX/UI design","HCC - Hamilton City Council, Tuatahi First Fibre, Waikato Regional Council, IT Partners",Internship,Industry project,Placed,2023 S1,28/02/2003,9/02/2024
Brandon Hall,20278907,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"Security, Mobile app development, Software testing, Business analysis","Other, Gallagher, Tuatahi First Fibre",Design Factory,Internship,Available,2020 S2,15/09/1989,
Michelle Miles,20254987,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,Project management,"Other, IT Partners",Internship,Industry project,For Review,2023 S1,21/04/1996,
Donald Booth,20299458,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Project management, API development",Waikato Regional Council,GIG - Internal client based projects,Industry project,Placed,2021 S2,28/03/1994,15/07/2024
Gina Moore,20244118,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"Other, Software testing, Networking","Gallagher, CTEK",Classroom project,Internal client internship/project,For Review,2021 S2,13/04/1992,
Brent Abbott,20279131,Female,International,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"System support – help desk, API development, Other, Web development","Enlighten Design, Waikato Regional Council, Fonterra",Design Factory,Classroom project,Available,2021 S2,21/10/1997,
Monica Herrera,20249615,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Software testing, Project management","Waikato Regional Council, LIC, Fonterra, Hospital",Design Factory,Classroom project,Placed,2022 S1,27/06/1991,28/02/2024
Sandra Montgomery,20247400,Male,International,C grade,Master of Applied IT,Database or Data Analytics,"Security, API development, Game development","Tuatahi First Fibre, Gallagher",GIG - Internal client based projects,GIG - Internal client based projects,Available,2024 S1,7/05/1995,
Amber Perez,20237930,Male,Domestic,C grade,Master of Applied IT,Software Engineering,"Mobile app development, Software testing","Blackout Games, Other",Internship,Design Factory,Available,2023 S2,9/07/1991,
Sharon James,20259429,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Business analysis, Security",Enlighten Design,Classroom project,Internship,Placed,2021 S1,20/03/2001,22/02/2024
Henry Santiago,20291988,Female,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Database, Software testing","Enlighten Design, IT Partners",Classroom project,GIG - Internal client based projects,Placed,2022 S2,27/03/1991,17/07/2024
Carolyn Daniel,20221417,Female,International,A grade,Bachelor of Applied IT,Network Engineering,"Networking, Business analysis, Database","Waikato Regional Council, HCC - Hamilton City Council",Internship,Internship,Placed,2020 S1,13/07/2004,3/02/2024
William Bowman,20273000,Male,Domestic,A grade,Master of Applied IT,Software Engineering,"Project management, Data analytics, Web development","Enlighten Design, Waikato Regional Council",Design Factory,Classroom project,For Review,2023 S2,11/04/1996,
Sarah Parsons,20230021,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Game development, Other, Data analytics",Hospital,GIG - Internal client based projects,GIG - Internal client based projects,For Review,2020 S1,23/11/1989,
Jennifer Jones,20274341,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Data analytics, System support – help desk, Game development, Software testing, API development","HCC - Hamilton City Council, LIC, Tuatahi First Fibre, Blackout Games",Internship,Internship,Placed,2024 S1,6/07/1999,3/02/2024
Jonathan Wilkerson,20284259,Male,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Other, Game development",Datacom,Classroom project,Internship,Available,2022 S1,1/06/2004,
Charles Mcgee,20270644,Female,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"Web development, API development","Gallagher, Waikato Regional Council",GIG - Internal client based projects,Design Factory,For Review,2022 S2,29/09/1997,
Jessica Silva,20247447,Male,Domestic,C grade,Master of Applied IT,Software Engineering,Database,Datacom,Internship,Design Factory,For Review,2021 S2,7/04/1996,
Brenda Snyder PhD,20214371,Male,International,C grade,Master of Applied IT,Network Engineering,"Security, Game development, Project management, Business analysis, UX/UI design","IT Partners, HCC - Hamilton City Council, Hospital",GIG - Internal client based projects,Internal client internship/project,For Review,2022 S1,2/01/1994,
Rebecca Henderson,20208326,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,Data analytics,LIC,Design Factory,Industry project,Placed,2022 S1,23/11/2001,12/02/2024
Zachary Rice,20272512,Male,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Other, Database, UX/UI design, API development",Hospital,Design Factory,Internal client internship/project,Placed,2020 S2,12/03/1989,9/07/2024
Ashley Dyer,20298419,Male,International,C grade,Master of Applied IT,Software Engineering,"API development, Business analysis, Web development","HCC - Hamilton City Council, Hospital, Enlighten Design",Internal client internship/project,Design Factory,Available,2022 S1,18/11/1997,
Gina Carter,20220730,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Software testing, System support – help desk, Project management","Datacom, Enlighten Design, Tuatahi First Fibre",Design Factory,GIG - Internal client based projects,Available,2024 S1,29/03/2004,
Nathan Cortez,20265612,Male,International,C grade,Bachelor of Applied IT,Network Engineering,"Business analysis, Database, System support – help desk","Datacom, Gallagher, IT Partners, CTEK",Internship,Internal client internship/project,For Review,2021 S2,19/11/1994,
Ashley Garrett,20283748,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Other, System support – help desk","Fonterra, Gallagher",Industry project,GIG - Internal client based projects,Available,2023 S1,29/01/2006,
Brittany Farmer,20270697,Male,Domestic,A grade,Master of Applied IT,Network Engineering,"Other, Networking, Data analytics, Web development","Tuatahi First Fibre, CTEK",Internal client internship/project,Industry project,For Review,2020 S1,28/10/1988,
Katherine Rodriguez,20247576,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Mobile app development, Project management, Database","Hospital, Blackout Games, CTEK, Gallagher",Internship,Internal client internship/project,For Review,2024 S2,8/04/1999,
David Bradley,20210322,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Game development, Business analysis, Database",Fonterra,Design Factory,Industry project,Available,2020 S1,20/09/1991,
Rose Spence,20269822,Female,International,C grade,Master of Applied IT,Software Engineering,"Game development, Security, Project management","Waikato Regional Council, CTEK, Hospital",Internship,GIG - Internal client based projects,Available,2024 S1,30/01/1993,
John Pierce,20234741,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"System support – help desk, Web development, Game development, Project management, UX/UI design","Waikato Regional Council, Other",Internal client internship/project,Classroom project,Placed,2020 S1,4/10/2006,10/02/2024
